Tomater gröna syltade;421;86;0.2;0;18.6;19.5;1.2;0
Tomat krossad konserv. m. lag;422;22;0.2;0;3.7;3.6;0.8;0
Fefferoni konserv. inlagd;423;19;0.1;0;1.7;0.6;0.7;4.3
Wokgrönsaker Asiatiska wokade m. rapsolja;424;49;1.3;0.1;5.7;4.4;1.4;0.6
Wokgrönsaker Classic wokade m. rapsolja;425;47;1.6;0.2;4.9;3.4;1.8;0.2
Grönsaksblandning ärtor morot konserv. m. lag;426;41;0.3;0.1;6.1;1.9;2.2;0.9
Grönsaksjuice konserv. el. pastöriserad drickf.;427;19;0.1;0;3.7;3.2;0.6;0.9
Champinjon konserv. u. lag;428;18;0.3;0;0.3;0.2;2.4;0.6
Pumpasallad m. paprika inlagd sockrad u. lag;429;64;0.2;0.1;13.5;13.6;0.9;0
Grönsakssoppa klar veg. ;430;23;0.2;0.1;3.9;1.4;0.9;0.6
